,title,original_title,overview,overview_word_count,release_date,release_year,original_language,genres,vote_average,vote_count,popularity
2483,Fear And Loathing In Las Vegas,Fear and Loathing in Las Vegas,"Raoul Duke and his attorney Dr. Gonzo drive a red convertible across the Mojave desert to Las Vegas with a suitcase full of drugs to cover a motorcycle race. As their consumption of drugs increases at an alarming rate, the stoned duo trash their hotel room and fear legal repercussions. Duke begins to drive back to L.A., but after an odd run-in with a cop, he returns to Sin City and continues his wild drug binge.",76,1998-05-22,1998,English,"['Adventure', 'Drama', 'Comedy']",7.212,4822,5.9723
2484,The Professional,Le Professionnel,"French secret service agent Josselin Beaumont is dispatched to take down African warlord N'Jala. But when his assignment is canceled, he's shocked to learn that his government is surrendering him to local authorities. He is given a mock trial and sentenced to 20 years of hard labor. But Beaumont escapes from prison and vows not only to avenge himself against his betrayers but also to finish his original assignment.",69,1981-10-21,1981,French,"['Action', 'Adventure', 'Thriller']",7.212,560,2.9734
2485,Crash,Crash,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of a Brentwood housewife, her district attorney husband, a Persian shopkeeper, two cops, a pair of carjackers and a Korean couple converge during a 36-hour period.",36,2005-05-06,2005,English,['Drama'],7.212,3688,4.2221
2486,Monster,Monster,"An emotionally scarred highway drifter shoots a sadistic trick who rapes her, and ultimately becomes America's first female serial killer.",20,2003-12-24,2003,English,"['Crime', 'Drama']",7.212,2441,8.8808
2487,She Said,She Said,New York Times reporters Megan Twohey and Jodi Kantor break one of the most important stories in a generation — a story that helped launch the #MeToo movement and shattered decades of silence around the subject of sexual assault in Hollywood.,41,2022-11-17,2022,English,"['Drama', 'History']",7.211,666,2.6272
2488,Teenage Mutant Ninja Turtles: Mutant Mayhem,Teenage Mutant Ninja Turtles: Mutant Mayhem,"After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.",60,2023-07-31,2023,English,"['Animation', 'Comedy', 'Action', 'Science Fiction']",7.211,1487,5.7497
2489,Good Time,Good Time,"After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",31,2017-08-11,2017,English,"['Crime', 'Thriller', 'Drama']",7.2,2985,2.1015
2490,Clue,Clue,"Clue finds six colorful dinner guests gathered at the mansion of their host, Mr. Boddy -- who turns up dead after his secret is exposed: He was blackmailing all of them. With the killer among them, the guests and Boddy's chatty butler must suss out the culprit before the body count rises.",52,1985-12-13,1985,English,"['Comedy', 'Thriller', 'Crime', 'Mystery']",7.2,1854,6.1349
2491,The Ten Commandments: The Movie,Os Dez Mandamentos: O Filme,Follows Moses leading and conducting the Hebrew people from the slavery of Egypt to the freedom towards the Promised Land according to the Ancient Testament Bible book of the Exodus. The story told like never before is faithful to the Scriptures.,41,2016-01-28,2016,Portuguese,['Drama'],7.2,307,2.8256
2492,It'S Only The End Of The World,Juste la fin du monde,"Louis, a terminally ill writer, returns home after a long absence to tell his family that he is dying.",19,2016-09-21,2016,French,['Drama'],7.21,1630,1.188
