,title,original_title,overview,overview_word_count,release_date,release_year,original_language,genres,vote_average,vote_count,popularity
1641,Women On The Verge Of A Nervous Breakdown,Mujeres al borde de un ataque de nervios,"Pepa resolves to kill herself with a batch of sleeping-pill-laced gazpacho after her lover leaves her. Fortunately, she is interrupted by a deliciously chaotic series of events.",27,1988-03-25,1988,Spanish,"['Comedy', 'Drama']",7.4,957,2.0756
1642,Spellbound,Spellbound,"When Dr. Anthony Edwardes arrives at a Vermont mental hospital to replace the outgoing hospital director, Dr. Constance Peterson, a psychoanalyst, discovers Edwardes is actually an impostor. The man confesses that the real Dr. Edwardes is dead and fears he may have killed him, but cannot recall anything. Dr. Peterson, however is convinced his impostor is innocent of the man's murder, and joins him on a quest to unravel his amnesia through psychoanalysis.",73,1945-11-08,1945,English,"['Thriller', 'Mystery', 'Romance']",7.4,932,2.1544
1643,The Trial,Le Procès,The surreal tale of an unassuming man who is accused of a never-specified crime and shambles through bizarre encounters to escape this nightmare.,23,1962-08-25,1962,English,"['Crime', 'Drama', 'Mystery']",7.413,534,2.9372
1644,Y Tu Mamá También,Y tu mamá también,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",28,2001-06-08,2001,Spanish,"['Drama', 'Romance']",7.4,1652,7.7644
1645,The Unforgivable,The Unforgivable,A woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past.,24,2021-11-24,2021,English,"['Drama', 'Crime']",7.412,1926,5.8818
1646,Kalashnikov Ak-47,Калашников,"A Russian military propaganda film about the tank commander Kalashnikov, severely injured in battle in 1941. The accident leaves him incapacitated and unable to return to the front line. While recovering in the hospital, he begins creating the initial sketches of what will become one of the world’s most legendary weapons. A self-taught inventor is only 29 when he develops the now iconic assault riffle — the AK-47. Shot in occupied Crimea.",72,2020-02-20,2020,Russian,"['War', 'History', 'Drama']",7.412,336,3.7233
1647,Secretariat,Secretariat,"Housewife and mother Penny Chenery agrees to take over her ailing father's Virginia-based Meadow Stables, despite her lack of horse-racing knowledge. Against all odds, Chenery - with the help of veteran trainer Lucien Laurin - manages to navigate the male-dominated business, ultimately fostering the first Triple Crown winner in 25 years.",51,2010-08-20,2010,English,['Drama'],7.4,616,3.2118
1648,American Me,American Me,"During his 18 years in Folsom Prison, street-gang leader Santana rules over all the drug-and-murder activities behind bars. Upon his release, Santana goes back to his old neighborhood, intending to lead a peaceful, crime-free life. But his old gang buddies force him back into his old habits.",47,1992-03-13,1992,English,"['Crime', 'Drama']",7.412,380,3.3985
1649,Being John Malkovich,Being John Malkovich,"One day at work, unsuccessful puppeteer Craig finds a portal into the head of actor John Malkovich. The portal soon becomes a passion for anybody who enters its mad and controlling world of overtaking another human body.",37,1999-10-29,1999,English,"['Comedy', 'Drama', 'Fantasy']",7.412,4596,2.893
1650,The Farewell,The Farewell,A headstrong Chinese-American woman returns to China when her beloved grandmother is given a terminal diagnosis. Billi struggles with her family's decision to keep grandma in the dark about her own illness as they all stage an impromptu wedding to see grandma one last time.,45,2019-07-12,2019,English,"['Comedy', 'Drama']",7.411,1485,1.7019
1651,Mr. Church,Mr. Church,"A unique friendship develops when a little girl and her dying mother inherit a cook - Mr. Church. What begins as an arrangement that should only last six months, instead spans fifteen years.",33,2016-09-16,2016,English,['Drama'],7.411,496,4.3106
1652,August Rush,August Rush,"Lyla and Louis, a singer and a musician, fall in love, but are soon compelled to separate. Lyla is forced to give up her newborn but unknown to her, he grows up to become a musical genius.",37,2007-11-21,2007,English,"['Family', 'Drama', 'Music']",7.411,2773,4.8195
1653,Missing,Missing,"When her mother disappears while on vacation in Colombia with her new boyfriend, June’s search for answers is hindered by international red tape. Stuck thousands of miles away in Los Angeles, June creatively uses all the latest technology at her fingertips to try and find her before it’s too late. But as she digs deeper, her digital sleuthing raises more questions than answers... and when June unravels secrets about her mom, she discovers that she never really knew her at all.",81,2023-01-19,2023,English,"['Drama', 'Mystery', 'Thriller']",7.408,1183,4.7755
1654,The Mauritanian,The Mauritanian,"The true story of the Mauritanian Mohamedou Ould Slahi, who was held at the U.S military's Guantanamo Bay detention center without charges for over a decade and sought help from a defense attorney for his release.",36,2021-02-12,2021,English,"['Drama', 'Thriller']",7.4,1204,3.8155
1655,Killers Of The Flower Moon,Killers of the Flower Moon,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.",27,2023-10-18,2023,English,"['Crime', 'History', 'Drama']",7.4,3822,10.1952
1656,They Call Me Jeeg,Lo chiamavano Jeeg Robot,"Exposed to radioactive waste, small-time crook Enzo gains super-strength. A misanthropic, introverted brute, he uses his powers for personal gain until he meets Alessia, a mentally ill girl who believes Enzo is the hero from her favorite anime, Steel Jeeg.",40,2016-02-25,2016,Italian,"['Drama', 'Action', 'Science Fiction']",7.41,2547,4.3732
1657,Johnny Guitar,Johnny Guitar,"On the outskirts of town, the hard-nosed Vienna owns a saloon frequented by the undesirables of the region, including Dancin' Kid and his gang. Another patron of Vienna's establishment is Johnny Guitar, a former gunslinger and her lover. When a heist is pulled in town that results in a man's death, Emma Small, Vienna's rival, rallies the townsfolk to take revenge on Vienna's saloon – even without proof of her wrongdoing.",71,1954-05-26,1954,English,"['Western', 'Drama', 'Romance']",7.4,450,3.2421
1658,The Experiment,Das Experiment,20 volunteers agree to take part in a seemingly well-paid experiment advertised by the university. It is supposed to be about aggressive behavior in an artificial prison situation. A journalist senses a story behind the ad and smuggles himself in among the test subjects. They are randomly divided into prisoners and guards. What seems like a game at the beginning soon turns into bloody seriousness.,65,2001-03-08,2001,German,"['Drama', 'Thriller']",7.41,1150,1.8357
1659,Crimes And Misdemeanors,Crimes and Misdemeanors,A renowned ophthalmologist is desperate to cut off an adulterous relationship…which ends up in murder; and a frustrated documentary filmmaker woos an attractive television producer while making a film about her insufferably self-centered boss.,34,1989-10-13,1989,English,"['Comedy', 'Drama', 'Crime']",7.409,917,1.3374
1660,Creed,Creed,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",27,2015-11-25,2015,English,"['Drama', 'Action']",7.408,7725,6.8118
1661,Delusions Of Grandeur,La Folie des grandeurs,"Don Sallust is the minister of the King of Spain. Being disingenuous, hypocritical, greedy and collecting the taxes for himself, he is hated by the people he oppresses. Accused by The Queen, a beautiful princess Bavarian, of having an illegitimate child to one of her maids of honor, he was stripped of his duties and ordered to retire to a monastery.",61,1971-12-08,1971,French,"['Comedy', 'History']",7.408,717,2.3589
1662,Hedwig And The Angry Inch,Hedwig and the Angry Inch,"Raised a boy in East Berlin, Hedwig undergoes a personal transformation in order to emigrate to the U.S., where she reinvents herself as an 'internationally ignored' but divinely talented rock diva, inhabiting a 'beautiful gender of one'.",37,2001-07-20,2001,English,"['Comedy', 'Music', 'Drama']",7.4,403,1.2848
1663,American Psycho,American Psycho,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",26,2000-04-13,2000,English,"['Thriller', 'Drama', 'Crime']",7.408,11698,10.2108
1664,The Omen,The Omen,"Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesn’t know is that their new son is the son of the devil.",35,1976-06-25,1976,English,"['Horror', 'Thriller']",7.4,2277,6.809
1665,Extraction 2,Extraction 2,"Back from the brink of death, highly skilled commando Tyler Rake takes on another dangerous mission: saving the imprisoned family of a ruthless gangster.",24,2023-06-09,2023,English,"['Action', 'Thriller', 'Crime']",7.407,2709,11.064
1666,18 Presents,18 regali,"Elisa is only forty when an incurable disease takes her from her husband and their daughter. Before her heart stops, Elisa finds a way to stay close to her: a gift for every birthday up to her adult age, 18 gifts to try to accompany her child's growth year after year.",51,2020-01-02,2020,Italian,"['Drama', 'Family']",7.407,702,2.4662
1667,New World,신세계,An undercover cop has his loyalties tested when the boss of the corporate gang he's spent years infiltrating dies.,19,2013-02-21,2013,Korean,"['Thriller', 'Crime', 'Drama']",7.407,503,3.9432
1668,Romeo And Juliet,Romeo and Juliet,"Romeo Montague and Juliet Capulet fall in love against the wishes of their feuding families. Driven by their passion, the young lovers defy their destiny and elope, only to suffer the ultimate tragedy.",33,1968-04-02,1968,English,"['Drama', 'Romance']",7.4,706,2.5208
1669,Life Of Pi,Life of Pi,"The story of an Indian boy named Pi, a zookeeper's son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean.",36,2012-11-20,2012,English,"['Adventure', 'Drama']",7.406,13467,4.2423
1670,My Girl,My Girl,"Vada Sultenfuss is obsessed with death. Her mother is dead, and her father runs a funeral parlor. She is also in love with her English teacher, and joins a poetry class over the summer just to impress him. Thomas J., her best friend, is ""allergic to everything"", and sticks with Vada despite her hangups. When Vada's father hires Shelly, and begins to fall for her, things take a turn to the worse...",72,1991-11-27,1991,English,"['Comedy', 'Drama']",7.406,2203,4.9489
1671,Humanist Vampire Seeking Consenting Suicidal Person,Vampire humaniste cherche suicidaire consentant,"Sasha is a young vampire with a serious problem: she's too sensitive to kill. When her exasperated parents cut off her blood supply, Sasha's life is in jeopardy. Luckily, she meets Paul, a lonely teenager with suicidal tendencies who is willing to give his life to save hers. But their friendly agreement soon becomes a nocturnal quest to fulfill Paul's last wishes before day breaks.",65,2023-10-13,2023,French,"['Romance', 'Comedy', 'Fantasy', 'Horror']",7.4,316,3.0148
1672,Crush,Crush,"When an aspiring young artist is forced to join her high school track team, she uses it as an opportunity to pursue the girl she's been harboring a long-time crush on. But she soon finds herself falling for an unexpected teammate and discovers what real love feels like.",48,2022-04-29,2022,English,"['Comedy', 'Romance']",7.405,470,3.0852
1673,The Good Lie,The Good Lie,"A young refugee of the Sudanese Civil War who wins a lottery for relocation to the United States with three other lost boys. Encountering the modern world for the first time, they develop an unlikely friendship with a brash American woman assigned to help them, but the young man struggles to adjust to this new life and his feelings of guilt about the brother he left behind.",67,2014-09-10,2014,English,['Drama'],7.4,550,2.0288
1674,When Harry Met Sally...,When Harry Met Sally...,"Sex always gets in the way of friendships between men and women. At least, that's what Harry Burns believes. So when Harry meets Sally Albright and a deep friendship blossoms between them, Harry's determined not to let his attraction to Sally destroy it. But when a night of weakness ends in a morning of panic, can the pair avoid succumbing to Harry's fears by remaining friends and admitting they just might be the perfect match for each other?",78,1989-07-12,1989,English,"['Comedy', 'Romance', 'Drama']",7.405,4363,4.7034
1675,The Basketball Diaries,The Basketball Diaries,A high school basketball player’s life turns upside down after free-falling into the harrowing world of drug addiction.,18,1995-04-21,1995,English,"['Drama', 'Crime']",7.404,2110,3.1558
1676,The Lovers On The Bridge,Les Amants du Pont-Neuf,"Set against Paris' oldest bridge, the Pont Neuf, while it was closed for repairs, this film is a love story between two young vagrants: Alex, a would be circus performer addicted to alcohol and sedatives and Michele, a painter driven to a life on the streets because of a failed relationship and an affliction which is slowly turning her blind.",60,1991-10-16,1991,French,"['Drama', 'Romance']",7.404,356,1.8162
1677,Summer Of 85,Été 85,"What do you dream of when you're 16-years-old and in a seaside resort in Normandy in the 1980s? A best friend? A lifelong teen pact? Scooting off on adventures on a boat or a motorbike? Living life at breakneck speed? No. You dream of death. Because you can't get a bigger kick than dying. And that's why you save it till the very end. The summer holidays are just beginning, and this story recounts how Alexis grew into himself.",79,2020-07-14,2020,French,"['Romance', 'Drama']",7.4,875,2.7359
1678,Promising Young Woman,Promising Young Woman,"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",20,2020-12-13,2020,English,"['Thriller', 'Crime', 'Drama']",7.4,3482,3.1992
1679,Swept Away,Travolti da un insolito destino nell'azzurro mare d'agosto,A spoiled rich woman and a brutish Communist deckhand become stranded alone on a desert island after venturing away from their cruise.,22,1974-12-18,1974,Italian,"['Comedy', 'Drama', 'Romance']",7.403,324,1.2647
1680,The Mad Adventures Of Rabbi Jacob,Les Aventures de Rabbi Jacob,"In this riot of frantic disguises and mistaken identities, Victor Pivert, a blustering, bigoted French factory owner, finds himself taken hostage by Slimane, an Arab rebel leader. The two dress up as rabbis as they try to elude not only assasins from Slimane's country, but also the police, who think Pivert is a murderer. Pivert ends up posing as Rabbi Jacob, a beloved figure who's returned to France for his first visit after 30 years in the United States. Adding to the confusion are Pivert's dentist-wife, who thinks her husband is leaving her for another woman, their daughter, who's about to get married, and a Parisian neighborhood filled with people eager to celebrate the return of Rabbi Jacob.",118,1973-10-17,1973,French,['Comedy'],7.403,1016,2.986
1681,Mon Oncle,Mon oncle,"Genial, bumbling Monsieur Hulot loves his top-floor apartment in a grimy corner of the city, and cannot fathom why his sister's family has moved to the suburbs. Their house is an ultra-modern nightmare, which Hulot only visits for the sake of stealing away his rambunctious young nephew. Hulot's sister, however, wants to win him over to her new way of life, and conspires to set him up with a wife and job.",72,1958-05-10,1958,French,['Comedy'],7.403,589,2.9806
1682,Leto,Лето,"Leningrad, one summer in the early eighties. Smuggling LPs by Lou Reed and David Bowie, the underground rock scene is boiling ahead of the Perestroika. Mike and his beautiful wife Natasha meet with young Viktor Tsoï. Together with friends, they will change the destiny of rock’n’roll in the Soviet Union.",50,2018-06-07,2018,Russian,"['Music', 'Drama']",7.4,325,3.0715
1683,Black Sunday,La maschera del demonio,"A vengeful witch, Asa Vajda, and her fiendish servant, Igor Jauvitch, return from the grave and begin a bloody campaign to possess the body of the witch's beautiful look-alike descendant: Katia. Only a handsome doctor with the help of family members stand in her way.",45,1960-08-11,1960,Italian,['Horror'],7.402,574,1.9088
1684,The Peanut Butter Falcon,The Peanut Butter Falcon,A down-on-his-luck crab fisherman embarks on a journey to get a young man with Down syndrome to a professional wrestling school in rural North Carolina and away from the retirement home where he’s lived for the past two and a half years.,42,2019-08-09,2019,English,"['Adventure', 'Comedy', 'Drama']",7.401,1527,2.1872
1685,Memoir Of A Murderer,살인자의 기억법,A former serial killer with Alzheimer's fights to protect his daughter from her mysterious boyfriend who may be a serial killer too.,22,2017-09-07,2017,Korean,"['Crime', 'Mystery', 'Thriller']",7.401,340,4.9622
1686,"Jeanne Dielman, 23, Quai Du Commerce, 1080 Bruxelles","Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles","A lonely widowed housewife does her daily chores and takes care of her apartment where she lives with her teenage son, and turns the occasional trick to make ends meet. Slowly, her ritualized daily routines begin to fall apart.",39,1976-01-21,1976,French,['Drama'],7.401,365,1.8078
1687,Once,Once,"A vacuum repairman moonlights as a street musician and hopes for his big break. One day a Czech immigrant, who earns a living selling flowers, approaches him with the news that she is also an aspiring singer-songwriter. The pair decide to collaborate, and the songs that they compose reflect the story of their blossoming love.",55,2007-03-23,2007,English,"['Drama', 'Music', 'Romance']",7.4,1394,4.0934
1688,Frida,Frida,"A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work.",21,2002-08-29,2002,English,"['Drama', 'Romance']",7.401,2101,3.9329
1689,An American Werewolf In London,An American Werewolf in London,"American tourists David and Jack are savagely attacked by an unidentified animal while hiking on the Yorkshire Moors. After retiring to the home of a beautiful nurse to recuperate, David soon begins experiencing disturbing changes to his body and mind.",40,1981-08-21,1981,English,"['Comedy', 'Horror']",7.401,2582,4.0797
1690,Boys Don'T Cry,Boys Don't Cry,A young transgender man explores his gender identity and searches for love in rural Nebraska.,15,1999-09-02,1999,English,"['Crime', 'Drama']",7.401,1395,1.7454
1691,Happy As Lazzaro,Lazzaro felice,"Purehearted teen Lazzaro is content living as a sharecropper in rural Italy, but an unlikely friendship with the marquise’s son will change his world.",24,2018-05-31,2018,Italian,"['Drama', 'Fantasy']",7.4,739,0.7096
1692,Spider-Man: Far From Home,Spider-Man: Far From Home,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",44,2019-06-28,2019,English,"['Action', 'Adventure', 'Science Fiction']",7.4,16435,11.6478
1693,The Raid,Serbuan Maut,"Deep in the heart of Jakarta's slums lies an impenetrable safe house for the world's most dangerous killers and gangsters. Until now, the run-down apartment block has been considered untouchable to even the bravest of police. Cloaked under the cover of pre-dawn darkness and silence, an elite swat team is tasked with raiding the safe house in order to take down the notorious drug lord that runs it. But when a chance encounter with a spotter blows their cover and news of their assault reaches the drug lord, the building's lights are cut and all the exits blocked. Stranded on the sixth floor with no way out, the unit must fight their way through the city's worst to survive their mission. Starring Indonesian martial arts sensation Iko Uwais.",128,2012-03-22,2012,Indonesian,"['Action', 'Thriller', 'Crime']",7.401,3678,4.0277
1694,Naruto Shippuden The Movie,劇場版 NARUTO -ナルト- 疾風伝,"Demons that once almost destroyed the world, are revived by someone. To prevent the world from being destroyed, the demon has to be sealed and the only one who can do it is the shrine maiden Shion from the country of demons, who has two powers; one is sealing demons and the other is predicting the deaths of humans. This time Naruto's mission is to guard Shion, but she predicts Naruto's death. The only way to escape it, is to get away from Shion, which would leave her unguarded, then the demon, whose only goal is to kill Shion will do so, thus meaning the end of the world. Naruto decides to challenge this ""prediction of death.""",117,2007-08-04,2007,Japanese,"['Animation', 'Action', 'Fantasy']",7.4,1044,5.0474
1695,El Angel,El Ángel,"Buenos Aires, Argentina, 1971. Carlos Robledo Puch is a 19-year-old boy with an angelic face, but a vocational thief as well, who acts ruthlessly, without remorse. When he meets Ramón, they follow together a dark path of crime and death.",40,2018-08-09,2018,Spanish,"['Drama', 'Crime']",7.4,564,2.4013
1696,Tarzan,Tarzan,"Tarzan was a small orphan who was raised by an ape named Kala since he was a child. He believed that this was his family, but on an expedition Jane Porter is rescued by Tarzan. He then finds out that he's human. Now Tarzan must make the decision as to which family he should belong to...",56,1999-06-17,1999,English,"['Family', 'Adventure', 'Animation', 'Drama']",7.399,7088,6.6356
1697,Taken,Taken,"Bryan Mills, a former government operative, is trying to reconnect with his teenage daughter Kim. After reluctantly agreeing with his ex-wife to let Kim go to Paris on vacation with a friend, his worst nightmare comes true. While on the phone with his daughter shortly after she arrives in Paris, she and her friend are abducted by a gang of human traffickers. Working against the clock, Bryan relies on his extensive training and skills to track down the ruthless gang that abducted her and launch a one-man war to rescue his daughter.",92,2008-02-18,2008,English,"['Action', 'Thriller']",7.399,11716,11.6391
1698,Sisu,Sisu,"When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, German soldiers led by a brutal SS officer battle him.",28,2022-09-09,2022,Finnish,"['Action', 'War']",7.398,2468,12.0022
1699,3096 Days,3096 Tage,A young Austrian girl is kidnapped and held in captivity for eight years. Based on the real-life case of Natascha Kampusch.,21,2013-02-21,2013,German,['Drama'],7.4,957,3.4881
1700,Repulsion,Repulsion,"Beautiful young manicurist Carole suffers from androphobia (the pathological fear of interaction with men). When her sister and roommate, Helen, leaves their London flat to go on an Italian holiday with her married boyfriend, Carole withdraws into her apartment. She begins to experience frightful hallucinations, her fear gradually mutating into madness.",51,1965-06-01,1965,English,"['Drama', 'Thriller', 'Horror']",7.4,1054,2.7201
1701,Ciao Alberto,Ciao Alberto,"With his best friend Luca away at school, Alberto is enjoying his new life in Portorosso working alongside Massimo—the imposing, tattooed, one-armed fisherman of few words—who's quite possibly the coolest human in the entire world as far as Alberto is concerned. He wants more than anything to impress his mentor, but it's easier said than done.",56,2021-11-11,2021,English,"['Animation', 'Comedy', 'Family', 'Fantasy']",7.4,686,1.9645
1702,Stargirl,Stargirl,"An unassuming high schooler finds himself inexplicably drawn to the free-spirited new girl, whose unconventional ways change how they see themselves…and their world.",23,2020-03-10,2020,English,"['Comedy', 'Drama', 'Romance', 'Family']",7.4,564,3.0291
1703,As Good As It Gets,As Good as It Gets,"Melvin Udall, a cranky, bigoted, obsessive-compulsive writer of romantic fiction, is rude to everyone he meets, including his gay neighbor, Simon. After Simon is brutally attacked and hospitalized, Melvin finds his life turned upside down when he has to look after Simon's dog. In addition, Carol, the only waitress at the local diner who will tolerate him, leaves work to care for her chronically ill son, making it impossible for Melvin to eat breakfast.",74,1997-12-19,1997,English,"['Drama', 'Comedy', 'Romance']",7.397,3959,4.0376
1704,Inside Man,Inside Man,"When an armed, masked gang enter a Manhattan bank, lock the doors and take hostages, the detective assigned to effect their release enters negotiations preoccupied with corruption charges he is facing.",31,2006-03-17,2006,English,"['Crime', 'Drama', 'Thriller']",7.396,6097,6.1084
1705,"Batman: The Long Halloween, Part Two","Batman: The Long Halloween, Part Two","As Gotham City's young vigilante, the Batman, struggles to pursue a brutal serial killer, district attorney Harvey Dent gets caught in a feud involving the criminal family of the Falcones.",30,2021-07-26,2021,English,"['Animation', 'Mystery', 'Action', 'Crime']",7.4,557,2.0348
1706,A Quiet Place,A Quiet Place,A family is forced to live in silence while hiding from creatures that hunt by sound.,16,2018-04-03,2018,English,"['Horror', 'Drama', 'Science Fiction']",7.396,14871,7.4571
1707,You'Re Not You,You're Not You,A drama centered on a classical pianist who has been diagnosed with ALS and the brash college student who becomes her caregiver.,22,2014-10-10,2014,English,['Drama'],7.395,817,1.6634
1708,The Mission,The Mission,"When a Spanish Jesuit goes into the South American wilderness to build a mission in the hope of converting the Indians of the region, a slave hunter is converted and joins his mission. When Spain sells the colony to Portugal, they are forced to defend all they have built against the Portuguese aggressors.",53,1986-09-06,1986,English,"['Adventure', 'Drama', 'Action', 'History']",7.4,1474,3.6722
1709,His Girl Friday,His Girl Friday,"Walter Burns is an irresistibly conniving newspaper publisher desperate to woo back his paper’s star reporter, who also happens to be his estranged wife. She’s threatening to quit and settle down with a new beau, but, as Walter knows, she has a weakness: she can’t resist a juicy scoop.",49,1940-01-18,1940,English,"['Comedy', 'Romance']",7.395,887,2.303
1710,Un Chien Andalou,Un chien andalou,"Un Chien Andalou is an European avant-garde surrealist film, a collaboration between director Luis Buñuel and Salvador Dali.",18,1929-06-05,1929,French,['Horror'],7.4,1357,1.2921
1711,South Park: Post Covid: The Return Of Covid,South Park: Post COVID: The Return of COVID,"If Stan, Kyle and Cartman could just work together, they could go back in time to make sure Covid never happened. But traveling back to the past seems to be the easy answer until they meet Victor Chaos.",38,2021-12-16,2021,English,"['Animation', 'Comedy', 'TV Movie']",7.393,453,1.3595
1712,Irma La Douce,Irma la Douce,"When a naive policeman falls in love with a prostitute, he doesn’t want her seeing other men and creates an alter ego who’s to be her only customer.",28,1963-06-05,1963,English,"['Romance', 'Comedy']",7.4,445,2.5056
1713,Leo,Leo,"Jaded 74-year-old lizard Leo has been stuck in the same Florida classroom for decades with his terrarium-mate turtle. When he learns he only has one year left to live, he plans to escape to experience life on the outside but instead gets caught up in the problems of his anxious students — including an impossibly mean substitute teacher.",58,2023-11-17,2023,English,"['Animation', 'Comedy', 'Family']",7.391,1280,7.6123
1714,The Purple Rose Of Cairo,The Purple Rose of Cairo,"Cecilia is a waitress in New Jersey, living a dreary life during the Great Depression. Her only escape from her mundane reality is the movie theatre. After losing her job, Cecilia goes to see 'The Purple Rose of Cairo' in hopes of raising her spirits, where she watches dashing archaeologist Tom Baxter time and again.",55,1985-03-01,1985,English,"['Fantasy', 'Comedy', 'Romance']",7.392,1091,2.6522
1715,Justice Society: World War Ii,Justice Society: World War II,"When the Flash finds himself dropped into the middle of World War II, he joins forces with Wonder Woman and her top-secret team known as the Justice Society of America.",30,2021-04-27,2021,English,"['Animation', 'War', 'Science Fiction']",7.391,589,2.8198
1716,Stand By Me Doraemon,STAND BY ME ドラえもん,Sewashi and Doraemon find themselves way back in time and meet Nobita. It is up to Doraemon to take care of Nobita or else he will not return to the present.,31,2014-08-08,2014,Japanese,"['Animation', 'Adventure', 'Science Fiction', 'Drama', 'Family', 'Fantasy']",7.4,569,2.7452
1717,The Devil Wears Prada,The Devil Wears Prada,"Andy moves to New York to work in the fashion industry. Her boss is extremely demanding, cruel and won't let her succeed if she doesn't fit into the high class elegant look of their magazine.",35,2006-06-29,2006,English,"['Drama', 'Comedy']",7.4,12580,8.7988
1718,Rise,En corps,"Elise thought she had the perfect life: an ideal boyfriend and a promising career as a ballet dancer. It all falls apart the day she catches him cheating on her with her stage backup; and after she suffers an injury on stage, it seems like she might not be able to dance ever again.",54,2022-03-30,2022,French,"['Comedy', 'Drama', 'Family']",7.39,444,3.6051
1719,Tucker And Dale Vs. Evil,Tucker and Dale vs. Evil,"Two hillbillies are suspected of being killers by a group of paranoid college kids camping near the duo's West Virginian cabin. As the body count climbs, so does the fear and confusion as the college kids try to seek revenge against the pair.",43,2010-01-22,2010,English,"['Comedy', 'Horror']",7.39,2972,3.8746
1720,Like Crazy,La pazza gioia,Two mental patients with opposite personalities ditch their Tuscan hospital and embark on an unpredictable exploration of the real world.,20,2016-05-17,2016,Italian,"['Drama', 'Comedy']",7.4,890,2.0985
1721,The Triplets Of Belleville,Les Triplettes de Belleville,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters—an aged song-and-dance team from the days of Fred Astaire—to rescue him.",34,2003-06-11,2003,French,"['Animation', 'Comedy', 'Drama', 'Family']",7.4,1000,1.4926
1722,Monster Pets: A Hotel Transylvania Short,Monster Pets: A Hotel Transylvania Short,Drac tries out some new monster pets to help occupy Tinkles for playtime.,13,2021-04-02,2021,English,"['Animation', 'Comedy', 'Fantasy']",7.4,405,2.1745
1723,Hour Of The Wolf,Vargtimmen,"While vacationing on a remote German island with his younger pregnant wife, an artist has an emotional breakdown while confronting his repressed desires.",23,1968-02-19,1968,Swedish,"['Drama', 'Horror']",7.388,525,1.0801
1724,Twin Peaks: Fire Walk With Me,Twin Peaks: Fire Walk with Me,"In the questionable town of Deer Meadow, Washington, FBI Agent Desmond inexplicably disappears while hunting for the man who murdered a teen girl. The killer is never apprehended, and, after experiencing dark visions and supernatural encounters, Agent Dale Cooper chillingly predicts that the culprit will claim another life. Meanwhile, in the more cozy town of Twin Peaks, hedonistic beauty Laura Palmer hangs with lowlifes and seems destined for a grisly fate.",71,1992-06-03,1992,English,"['Drama', 'Mystery', 'Horror']",7.388,2116,4.091
1725,Lost In Translation,Lost in Translation,"Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.",43,2003-09-18,2003,English,"['Drama', 'Romance', 'Comedy']",7.388,7727,4.3738
1726,Waiting For Bojangles,En attendant Bojangles,"A boy and his eccentric parents leave their home in Paris for a country house in Spain. As the mother descends deeper into her own mind, it's up to the boy and his father to keep her safe and happy.",40,2021-10-13,2021,French,"['Drama', 'Comedy', 'Romance']",7.387,335,2.7931
1727,Ghostland,Ghostland,"A mother of two inherits a home from her aunt. On the first night in the new home she is confronted with murderous intruders and fights for her daughters’ lives. Sixteen years later the daughters reunite at the house, and that is when things get strange...",46,2018-03-14,2018,English,"['Horror', 'Mystery', 'Thriller']",7.387,2563,4.6315
1728,Once In A Lifetime,Les Héritiers,"At Léon Blum High School in Créteil, France, a history teacher decides to have her weakest 10th grade class participate in a national history competition.",25,2014-12-03,2014,French,['Drama'],7.387,323,1.8876
1729,Selma,Selma,"""Selma,"" as in Alabama, the place where segregation in the South was at its worst, leading to a march that ended in violence, forcing a famous statement by President Lyndon B. Johnson that ultimately led to the signing of the Voting Rights Act.",43,2014-12-25,2014,English,"['History', 'Drama']",7.387,2268,4.6775
1730,Law Abiding Citizen,Law Abiding Citizen,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.,39,2009-10-15,2009,English,"['Drama', 'Crime', 'Thriller']",7.387,5453,6.6563
